Sport	Service	Type	Style	y	R2	RMSE	MAE	ModelType	Date	Params
nhl	draftkings	FIFTY_FIFTY	classic	top	.354	15.9	3.51	tpot	20210914	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nhl	draftkings	FIFTY_FIFTY	classic	last	.115	12.333	3.06	skautoml-pca	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.498	18.478	3.72	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.18	20.03	3.99	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	fanduel	GPP	classic	top	.55	20.9	4.02	tpot	20210913	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nhl	fanduel	FIFTY_FIFTY	classic	top	.277	26.709	4.43	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.151	21.51	4.018	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	yahoo	FIFTY_FIFTY	classic	top	.22	16.59	3.71	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	yahoo	GPP	classic	last	.503	8.06	2.6	tpot	20210914	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nhl	yahoo	GPP	classic	top	.456	13.09	3.37	tpot-pca	20210914	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'

mlb	yahoo	FIFTY_FIFTY	classic	top	.21	21.88	4.48	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	fanduel	GPP	classic	top	.549	28.36	4.2	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	fanduel	GPP	classic	last	.308	20.75	3.83	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	draftkings	GPP	classic	top	.397	19.18	3.78	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'

nba	draftkings	GPP	classic	last	.208	21.8	4.3	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	GPP	classic	top	.42	18.4	3.71	tpot	20210912	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	fanduel	GPP	classic	top	.755	12.3	2.9	tpot-pca	20210912	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	fanduel	FIFTY_FIFTY	classic	last	.28	26.33	4.34	tpot-pca	20210912	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
nba	fanduel	FIFTY_FIFTY	classic	top	.5	21.7	4.07	tpot	20210912	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'

lol	draftkings	FIFTY_FIFTY	classic	top	.959	56.29	5.89	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
lol	draftkings	FIFTY_FIFTY	classic	last	.842	103.8	9.17	skautoml-pca	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
lol	draftkings	GPP	classic	top	.998	6.94	2.35	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
lol	draftkings	GPP	classic	last	.949	49.03	6.35	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
lol	fanduel	FIFTY_FIFTY	classic	last	.59	51.456	6.24	tpot	20210910	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
lol	fanduel	FIFTY_FIFTY	classic	top	.698	37.92	5.47	tpot	20210910	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'

************************************************************************************
# NONE USABLE MODELS START HERE
mlb	draftkings	GPP	classic	top	.408	19.04	3.84	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	draftkings	FIFTY_FIFTY	classic	last	-.1	23.2	4.2	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	draftkings	FIFTY_FIFTY	classic	last	-1.8	37.5	4.8	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	draftkings	FIFTY_FIFTY	classic	last	-5	54.45	6.3	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	draftkings	FIFTY_FIFTY	classic	top	-.7	30.8	5.1	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	draftkings	FIFTY_FIFTY	classic	top	-.7	31.3	5.1	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	draftkings	FIFTY_FIFTY	classic	top	-2	46.1	5.44	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	draftkings	GPP	classic	last	-.07	33.8	4.99	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	draftkings	GPP	classic	last	-.09	34.05	5	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	draftkings	GPP	classic	last	-.1	34.29	5.07	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	draftkings	GPP	classic	top	.375	19.56	3.83	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	draftkings	GPP	classic	top	.398	19.21	3.92	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	draftkings	GPP	classic	top	.408	19.04	3.84	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	fanduel	FIFTY_FIFTY	classic	last	-.407	30.63	4.9	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	fanduel	FIFTY_FIFTY	classic	last	-.6	33.1	5.1	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	fanduel	FIFTY_FIFTY	classic	last	-1.05	36.9	5.4	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	fanduel	FIFTY_FIFTY	classic	top	-.4	32.2	5.1	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	fanduel	FIFTY_FIFTY	classic	top	-.48	32.9	5.12	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	fanduel	FIFTY_FIFTY	classic	top	-1.5	43	5.8	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	fanduel	GPP	classic	last	.148	23.03	3.93	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	fanduel	GPP	classic	last	.238	21.77	3.87	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	fanduel	GPP	classic	last	.308	20.75	3.83	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
