Result for 2018-11-15:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	130.99870672316572	0.37885	130.99870672316572	406	0.4960798123	0.8842776891	0.346956373	0.62115	225	369	0 days 00:03:40.729800000	2
1	127.45645836526975	0.53391	127.45645836526975	390	0.372566349	0.5162852761	0.3822247537	0.46609	269	585	0 days 00:06:45.857367000	2
2	127.60775619787033	0.19009	127.60775619787033	206	0.3142787895	0.7684762153	0.4468004143	0.80991	352	593	0 days 00:02:35.100565000	1
3	124.42581347175789	0.4295	124.42581347175789	271	0.2065921404	0.8613576962	0.3416419222	0.5705	113	825	0 days 00:05:59.566866000	2
4	129.99868205922115	0.3717	129.99868205922115	343	0.3691199017	0.694196039	0.687838222	0.6283	560	543	0 days 00:05:07.510589000	1
5	130.76766450492684	0.37306	130.76766450492684	412	0.5	0.9	0.3693380504	0.62694	237	359	0 days 00:03:40.677044000	2
6	131.03694622721108	0.37967	131.03694622721108	388	0.483967453	0.8581993275	0.3335406299	0.62033	233	392	0 days 00:03:47.773107000	2
7	131.3420493680415	0.39004	131.3420493680415	406	0.4872604852	0.8298854339	0.3334857699	0.60996	192	381	0 days 00:03:30.144804000	2
8	130.56486729948693	0.43294	130.56486729948693	390	0.466403179	0.7476220255	0.3316735419	0.56706	166	386	0 days 00:03:07.305612000	2
9	127.0833222686099	0.40038	127.0833222686099	245	0.3062747555	0.8589650311	0.7049055264	0.59962	190	386	0 days 00:02:12.038349000	2
10	131.6312151761191	0.39589	131.6312151761191	369	0.4873194773	0.7457964901	0.2988478251	0.60411	392	427	0 days 00:04:44.409620000	2
11	115.40237796349362	0.46285	115.40237796349362	50	0.5	0.1	0.0	0.53715	1000	1000	0 days 00:00:10.486458000	1
12	130.25590949886566	0.37835	130.25590949886566	389	0.4015327032	0.5541087573	0.7422172596	0.62165	590	432	0 days 00:09:42.363426000	2
13	131.71125236891544	0.45099	131.71125236891544	400	0.5	0.7449863293	0.4195994768	0.54901	460	434	0 days 00:06:49.200498000	2
14	131.6312151761191	0.26838	131.6312151761191	394	0.5	0.7399566758	0.4323574256	0.73162	659	619	0 days 00:03:18.563953000	2
15	131.71125236891544	0.38015	131.71125236891544	380	0.5	0.7464704653	0.2822375479	0.61985	426	438	0 days 00:05:09.231304000	2
16	131.6312151761191	0.11828	131.6312151761191	344	0.5	0.7092691105	0.2397251543	0.88172	605	405	0 days 00:02:08.576852000	2
17	124.28542265309537	0.9	124.28542265309537	600	0.4121074307	0.6508596295	0.75	0.1	944	1000	0 days 00:29:28.984004000	2
18	129.61492653586242	0.51921	129.61492653586242	380	0.5	0.7377639227	0.4565571705	0.48079	388	377	0 days 00:04:53.751997000	2
19	131.3924203722965	0.39467	131.3924203722965	367	0.5	0.7435002572	0.4634133356	0.60533	626	488	0 days 00:09:20.272316000	2
20	131.43096303660553	0.36257	131.43096303660553	409	0.5	0.7376898144	0.3453525782	0.63743	467	402	0 days 00:05:59.410528000	2
21	131.71125236891544	0.21505	131.71125236891544	357	0.5	0.7252421545	0.3458232551	0.78495	710	763	0 days 00:03:03.679558000	2
22	131.71125236891544	0.41589	131.71125236891544	317	0.4992841058	0.6462228104	0.1075698095	0.58411	817	506	0 days 00:05:33.878510000	2
